,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
779,Data Engineer,Osmose Utilities Services,Depew,NY,US,en,"Depew, NY",Osmose Utilities Services,"Wed, 08 Jan 2020 21:31:51 GMT",Experience / understanding of <b>data</b> <b>science</b> and machine learning concepts preferred. Provide subject matter expertise to the <b>data</b> <b>science</b> team and collaborate on…,http://www.indeed.com/viewjob?jk=4d250e32c9481af1&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",4d250e32c9481af1,False,False,False,"Depew, NY 14043",2 days ago,
780,Data Engineer (Contract to Perm),Ocean Spray,Lakeville,MA,US,en,"Lakeville, MA",Ocean Spray,"Thu, 09 Jan 2020 11:13:16 GMT","Help move <b>data</b> from legacy systems to modern <b>data</b> ecosystem. Experience implementing modern <b>data</b> platforms for various hot, warm, cold <b>data</b> needs.",http://www.indeed.com/viewjob?jk=0870a47f528ea6c8&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",0870a47f528ea6c8,False,False,False,"Lakeville, MA 02347",2 days ago,
781,Senior Data Analyst,Health Current,Phoenix,AZ,US,en,"Phoenix, AZ",Health Current,"Wed, 08 Jan 2020 21:32:21 GMT",Proficient <b>data</b> analysis and <b>data</b> reporting techniques and methodologies. The Senior <b>Data</b> Analyst provides support of all organizational <b>data</b> management…,http://www.indeed.com/viewjob?jk=8184d6530858d464&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",8184d6530858d464,False,False,True,"Phoenix, AZ 85014",2 days ago,
782,"Sr. Data Science Analyst, Data Science Accelerator Program",Truist Financial,Atlanta,GA,US,en,"Atlanta, GA",Truist Financial,"Thu, 09 Jan 2020 11:13:58 GMT","This position is part of an 18-month rotational <b>Data</b> <b>Science</b> Accelerator Program (DSAP), allowing analysts rotate through Enterprise <b>Data</b> Office and Line of…",http://www.indeed.com/viewjob?jk=37c2bbcc8152a0e5&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",37c2bbcc8152a0e5,False,False,False,"Atlanta, GA 30309",2 days ago,
783,Data Analyst - Intern,GAF Materials Corporation,Parsippany,NJ,US,en,"Parsippany, NJ",GAF Materials Corporation,"Wed, 08 Jan 2020 16:56:19 GMT",Focus would be advanced analytics and <b>data</b> <b>science</b> tasks. GAF is looking for a <b>Data</b> Analyst - Intern . This intern will assist with the development of new…,http://www.indeed.com/viewjob?jk=fcc959fad439d291&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",fcc959fad439d291,False,False,False,"Parsippany, NJ",2 days ago,
784,Data Solution Architect (Cloud),IBM,,,US,en,United States,IBM,"Thu, 09 Jan 2020 11:13:09 GMT","Oversee the architecture for the <b>data</b> platform & cognitive components including unstructured <b>data</b> technologies, annotation and related <b>data</b> and analytics, e.g.…",http://www.indeed.com/viewjob?jk=412210f807172a89&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",412210f807172a89,False,False,False,United States,2 days ago,
785,IS Data Architect,Edward Jones,St. Louis,MO,US,en,"St. Louis, MO",Edward Jones,"Thu, 09 Jan 2020 00:04:31 GMT","Knowledgeable in multiple <b>data</b> management disciplines such as <b>data</b> governance, master <b>data</b> management, <b>data</b> integration, <b>data</b> modeling, business intelligence,…",http://www.indeed.com/viewjob?jk=36f17fdfcdd196e6&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",36f17fdfcdd196e6,False,False,False,"St. Louis, MO",2 days ago,
786,Data Scientist / Engineer,LiveSafe,Rosslyn,VA,US,en,"Rosslyn, VA",LiveSafe,"Wed, 08 Jan 2020 22:36:47 GMT",LiveSafe is looking for a talented <b>data</b> <b>scientist</b> to join our team. Talented engineer that loves <b>data</b>. You’ll create <b>data</b> products that provide deep insights…,http://www.indeed.com/viewjob?jk=a46409f804abd9d4&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",a46409f804abd9d4,False,False,True,"Rosslyn, VA",2 days ago,
787,"Principal Data Architect, NoSQL - Nationwide Opportunities","Amazon Web Services, Inc.",,,US,en,United States,Amazon.com,"Thu, 09 Jan 2020 07:54:44 GMT","Industry leadership in the fields of database, Analytics or <b>data</b> <b>sciences</b>. Experience with non-relational, NoSQL databases and other <b>data</b> analytics applications…",http://www.indeed.com/viewjob?jk=d6a278cdb11eee08&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",d6a278cdb11eee08,False,False,False,United States,2 days ago,
788,Data Engineer/Developer,TaosMountain,San Francisco,CA,US,en,"San Francisco, CA",TaosMountain,"Wed, 08 Jan 2020 21:20:30 GMT","7+ years of collective experience in software engineering, <b>data</b> analysis, <b>data</b> warehousing or <b>data</b> transformation, in a similarly sized organization.",http://www.indeed.com/viewjob?jk=c4fad0fa7e88f399&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",c4fad0fa7e88f399,False,False,True,"San Francisco, CA",2 days ago,
