,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
0,Data Scientist,AETNA,Hartford,CT,US,en,"Hartford, CT",Aetna,"Sat, 11 Jan 2020 15:20:59 GMT","Minimum one year of <b>data</b> <b>science</b> or programming analysis experience. Master’s degree in Statistics, Business Analytics, <b>Data</b> <b>Science</b> or closely related.",http://www.indeed.com/viewjob?jk=43194fbf78499119&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",43194fbf78499119,False,False,False,"Hartford, CT 06156",1 hour ago,
1,Data Scientist,Microsoft,Redmond,WA,US,en,"Redmond, WA",Microsoft,"Sat, 11 Jan 2020 13:14:30 GMT","4+ years of <b>data</b> <b>science</b>, analytics and/or business intelligence experience. Advanced working knowledge of EDA, <b>data</b> wrangling and mining using SQL, ETL, Data…",http://www.indeed.com/viewjob?jk=f737890c10ca957a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",f737890c10ca957a,False,False,False,"Redmond, WA",3 hours ago,
2,Senior Data Scientist,true[x],Los Angeles,CA,US,en,"Los Angeles, CA",Disney,"Sat, 11 Jan 2020 14:31:08 GMT",The Senior <b>Data</b> <b>Scientist</b> will be a key member of true[X]’s <b>Data</b> <b>Science</b> team. There is an endless supply of <b>Data</b> <b>Science</b> work to be done.,http://www.indeed.com/viewjob?jk=6382ca0dce4fb82f&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",6382ca0dce4fb82f,False,False,False,"Los Angeles, CA 90049",2 hours ago,
3,Data Scientist,Social Science Research Solutions (SSRS),Glen Mills,PA,US,en,"Glen Mills, PA",Social Science Research Solutions (SSRS),"Sat, 11 Jan 2020 14:22:56 GMT","Develop <b>data</b> visualizations to capture trends and summarize <b>data</b>. SSRS, a leading data-driven survey research and <b>data</b> capture firm, is seeking an experienced…",http://www.indeed.com/viewjob?jk=449135dd3e0f8cdd&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",449135dd3e0f8cdd,False,False,False,"Glen Mills, PA",2 hours ago,
4,Data & Customer Insights Analyst,Forum Communications,Fargo,ND,US,en,"Fargo, ND",Forum Communications,"Sat, 11 Jan 2020 10:37:30 GMT",Continuously analyze <b>data</b> throughout the customer journey and make recommendations for improvement based on <b>data</b>.,http://www.indeed.com/viewjob?jk=c7fc0f64a44865d7&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",c7fc0f64a44865d7,False,False,False,"Fargo, ND 58102",5 hours ago,
5,Data Science: Senior Associate,TheMathCompany,Raleigh,TX,US,en,"Raleigh, TX",TheMathCompany,"Sat, 11 Jan 2020 12:44:10 GMT","Master’s in Business Analytics, <b>Data</b> <b>Sciences</b> or equivalent. Working knowledge of a Big <b>Data</b> ecosystem, such as, Hadoop M/R, Pig and Hive.",http://www.indeed.com/viewjob?jk=dc917167d647985a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",dc917167d647985a,False,False,False,"Raleigh, TX",3 hours ago,
6,Data Architect,Regional Finance,Greer,SC,US,en,"Greer, SC",Regional Finance,"Sat, 11 Jan 2020 10:58:25 GMT","Mastery-level <b>Data</b> Architecture skills - a deep understanding of <b>data</b> architecture patterns <b>data</b> warehouse, integration, APIs, <b>data</b> lake, and cloud technology…",http://www.indeed.com/viewjob?jk=300e3b1bcf67f63e&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",300e3b1bcf67f63e,False,False,False,"Greer, SC 29651",5 hours ago,
7,"Senior Director, Personalization Analytics & Data Science",CVS Health,Woonsocket,RI,US,en,"Woonsocket, RI",CVS Health,"Sat, 11 Jan 2020 14:11:48 GMT","As Senior Director of Personalization Analytics & <b>Data</b> <b>Science</b> you will lead a diverse team of high performing solution strategists, <b>data</b> <b>scientists</b> and…",http://www.indeed.com/viewjob?jk=773a8cd9eec0ef00&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",773a8cd9eec0ef00,False,False,False,"Woonsocket, RI",2 hours ago,
8,Lab Assistant/Data Entry,LabCorp,Dublin,OH,US,en,"Dublin, OH",LabCorp,"Sat, 11 Jan 2020 14:11:16 GMT",Strong <b>data</b> entry and organizational skills. Applicants will be required to pass a <b>data</b> entry test. <b>Data</b> entry of specimen information in a measured production…,http://www.indeed.com/viewjob?jk=e61b492dee288e1d&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",e61b492dee288e1d,False,False,False,"Dublin, OH 43016",2 hours ago,
9,Data Product Owner – Data Management,Nestle USA,Arlington,VA,US,en,"Arlington, VA",Nestle,"Sat, 11 Jan 2020 12:31:03 GMT","Minimum 8 years of experience in demonstrating <b>data</b> mapping, <b>data</b> usage and <b>data</b> acquisition to deliver large <b>data</b> integration/warehouse projects, preferably in…",http://www.indeed.com/viewjob?jk=0d2643ab731fe198&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",0d2643ab731fe198,False,False,False,"Arlington, VA",4 hours ago,
10,"Senior Analyst, Data Mining & Analytics",Whirlpool Corporation,Benton Harbor,MI,US,en,"Benton Harbor, MI",Whirlpool Corporation,"Sat, 11 Jan 2020 15:31:54 GMT","3+ years of experience in <b>data</b> <b>science</b> and <b>data</b> analysis. Develop analytical tools, and provide capabilities to the Global Product Safety team for early issue…",http://www.indeed.com/viewjob?jk=33e0d06f23de5846&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",33e0d06f23de5846,False,False,False,"Benton Harbor, MI 49022",1 hour ago,
11,"Vice President, Data Management",Advanced Group,Deerfield,IL,US,en,"Deerfield, IL",Advanced Group,"Sat, 11 Jan 2020 11:24:34 GMT","The VP, <b>Data</b> Management serves as global head of <b>Data</b> Management and inclusive of <b>data</b> management, <b>data</b> review, database programming, and medical coding…",http://www.indeed.com/viewjob?jk=349e80949478be10&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",349e80949478be10,False,False,False,"Deerfield, IL 60015",5 hours ago,
12,VP - Product Development-Data Cloud Analytics,ADP,Parsippany,NJ,US,en,"Parsippany, NJ",ADP,"Sat, 11 Jan 2020 13:01:41 GMT","Recognized expert in Analytics, Business Intelligence or <b>Data</b> <b>Science</b>, demonstrated via conference proceedings, news coverage or other awards.",http://www.indeed.com/viewjob?jk=fb2c1514b772ca6d&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",fb2c1514b772ca6d,False,False,False,"Parsippany, NJ 07054",3 hours ago,
13,Senior Data Quality Engineer,SpotRight,,,US,en,United States,SpotRight,"Sat, 11 Jan 2020 10:40:55 GMT",Utilize <b>data</b> profiling to uncover <b>data</b> issues and perform rules based assessments of <b>data</b>. Strong experience with end to end <b>data</b> testing &/or <b>data</b> analysis as…,http://www.indeed.com/viewjob?jk=016e51169897a155&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",016e51169897a155,False,False,False,United States,5 hours ago,
14,Data Scientist,Viejas Casino & Resort,Alpine,CA,US,en,"Alpine, CA",Viejas Casino & Resort,"Sat, 11 Jan 2020 06:45:14 GMT",The <b>Data</b> <b>Scientist</b> serves as Viejas expert on analyzing <b>data</b> and developing <b>data</b> driven insights for all operating verticals within the enterprise.,http://www.indeed.com/viewjob?jk=e3eaf83d4339d244&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",e3eaf83d4339d244,False,False,False,"Alpine, CA 91901",9 hours ago,
15,Data Scientist,Gro Intelligence,New York,NY,US,en,"New York, NY",Gro Intelligence,"Sat, 11 Jan 2020 09:46:08 GMT",Strong computer <b>science</b> fundamental (data structures and algorithms). Passion for solving high impact problems with <b>data</b> driven tools.,http://www.indeed.com/viewjob?jk=b4991618f916710e&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",b4991618f916710e,False,False,True,"New York, NY 10001",6 hours ago,
16,"Data Scientist, Simulation & Policy",Lacuna Technologies,Palo Alto,CA,US,en,"Palo Alto, CA",Lacuna Technologies,"Sat, 11 Jan 2020 06:41:30 GMT","Experience in <b>data</b> analyses, especially using SQL and with <b>data</b> <b>science</b> libraries in Python or R. We are looking for a senior <b>data</b> <b>scientist</b> with experience in…",http://www.indeed.com/viewjob?jk=383aaa4e7bb535cc&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",383aaa4e7bb535cc,False,False,False,"Palo Alto, CA",9 hours ago,
17,Data Scientist,"CGI Group, Inc.",Lafayette,LA,US,en,"Lafayette, LA",CGI,"Sat, 11 Jan 2020 08:07:36 GMT",CGI Federal's Emerging Technologies Practice (ETP) seeks a highly-motivated <b>Data</b> <b>Scientist</b> to join their <b>Data</b> team. Your future duties and responsibilities:,http://www.indeed.com/viewjob?jk=1f3b89649cc082e5&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",1f3b89649cc082e5,False,False,False,"Lafayette, LA 70593",8 hours ago,
18,Data Scientist,"Amazon Dev Center U.S., Inc.",Baltimore,MD,US,en,"Baltimore, MD",Amazon.com,"Sat, 11 Jan 2020 07:55:56 GMT","In <b>Data</b> <b>Science</b>, Computer <b>Science</b>, Electrical and Computer Engineering, Mathematics or equivalent degree. <b>Data</b> <b>Science</b>, Security, Software Development and Cloud…",http://www.indeed.com/viewjob?jk=4a1b7fe443a31e3a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",4a1b7fe443a31e3a,False,False,False,"Baltimore, MD",8 hours ago,
19,Data Scientist,FocusKPI Inc.,San Mateo,CA,US,en,"San Mateo, CA",FocusKPI Inc.,"Sat, 11 Jan 2020 05:22:52 GMT",<b>Data</b> <b>scientist</b> with 3 years industry experience. Master degree in Business Analytics/Information Technology/Computer Science/Data <b>Science</b> or related.,http://www.indeed.com/viewjob?jk=93d75a18bcf6831c&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",93d75a18bcf6831c,False,False,True,"San Mateo, CA",11 hours ago,
20,Data Scientist,SoftVision - North America & UK,Oakland,CA,US,en,"Oakland, CA",SoftVision - North America & UK,"Sat, 11 Jan 2020 09:49:12 GMT",Interpret <b>data</b> and analyze results. We are looking for an exceptional <b>Data</b> <b>Scientist</b> to work with our cross-functional team and join our world-class community…,http://www.indeed.com/viewjob?jk=92183907c2367237&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",92183907c2367237,False,False,False,"Oakland, CA",6 hours ago,
21,Data Specialist,CCA Global Partners,Manchester,NH,US,en,"Manchester, NH",CCA Global Partners,"Sat, 11 Jan 2020 06:14:30 GMT","This position requires 3+ years of <b>data</b> experience with a BS in Statistics, Mathematics, Computer <b>Science</b> or a similar field. How we take care of YOU:",http://www.indeed.com/viewjob?jk=b1caef0d43cf4839&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",b1caef0d43cf4839,False,False,False,"Manchester, NH 03101",10 hours ago,
22,Data Science Engineer - Minneapolis,Bind Benefits,Minneapolis,MN,US,en,"Minneapolis, MN",Bind Benefits,"Sat, 11 Jan 2020 09:11:44 GMT","A Bind <b>Data</b> <b>Science</b> Engineer directs and participates as an active, hands-on member a team of <b>Data</b> <b>Scientists</b> to design, develop, and implement end-to-end cloud…",http://www.indeed.com/viewjob?jk=3b61a79c775060a7&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",3b61a79c775060a7,False,False,False,"Minneapolis, MN 55416",7 hours ago,
23,"Data Scientist II, Marketing Analystics",TD Bank,New York,NY,US,en,"New York, NY",TD Bank,"Sat, 11 Jan 2020 09:14:50 GMT","The <b>Data</b> <b>Scientist</b> II provides technical leadership across the overall Analytics function which may have an enterprise mandate. To learn more, visit www.td.com.",http://www.indeed.com/viewjob?jk=7d7d3fe5575504c9&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",7d7d3fe5575504c9,False,False,False,"New York, NY 10022",7 hours ago,
24,"Vice President, Data Science",Powell Tate,Washington,DC,US,en,"Washington, DC",Powell Tate,"Sat, 11 Jan 2020 05:47:15 GMT","Research approaches in <b>data</b> <b>science</b> that address problems outlined by the <b>data</b> <b>science</b> lead. You will interact with <b>data</b> engineers and <b>data</b> analysts, eliciting…",http://www.indeed.com/viewjob?jk=2ce24d1d8d27bda7&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",2ce24d1d8d27bda7,False,False,False,"Washington, DC 20001",10 hours ago,
25,Data Science Expert,CITI,Jacksonville,FL,US,en,"Jacksonville, FL",Citi,"Sat, 11 Jan 2020 05:21:39 GMT",Assess the effectiveness and accuracy of new <b>data</b> sources and <b>data</b>. Gathering techniques.Develop custom <b>data</b> models and algorithms to apply to <b>data</b> sets.,http://www.indeed.com/viewjob?jk=41c868136c17578b&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",41c868136c17578b,False,False,False,"Jacksonville, FL",11 hours ago,
26,Annual Giving Data Analyst,The Ohio State University,Columbus,OH,US,en,"Columbus, OH",The Ohio State University,"Sat, 11 Jan 2020 05:41:01 GMT","Reporting to the Senior Director of Annual Giving, the <b>Data</b> Analyst will support the team with a variety of analysis needs and will establish, monitor and…",http://www.indeed.com/viewjob?jk=8d53fd2fd8b1e7a5&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",8d53fd2fd8b1e7a5,False,False,False,"Columbus, OH",10 hours ago,
27,Biotechnology SQL Data Loader,Kamis,Gaithersburg,MD,US,en,"Gaithersburg, MD",Simply Hired,"Sat, 11 Jan 2020 06:54:30 GMT",Curate and normalize clinically-relevant <b>data</b> for consumption by <b>data</b> <b>scientists</b> and research <b>scientists</b>. The position will involve transforming and importing…,http://www.indeed.com/viewjob?jk=c7d552f75de378e7&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",c7d552f75de378e7,False,False,True,"Gaithersburg, MD 20878",9 hours ago,
28,Mid Level Data Analyst,Mental Health Partners,Lafayette,CO,US,en,"Lafayette, CO",Mental Health Partners,"Sat, 11 Jan 2020 07:12:05 GMT","Manage, develop, organize, and execute analyses and <b>data</b> reports from MHP’s <b>data</b> infrastructure (EHR, evaluation <b>data</b> systems, etc.).",http://www.indeed.com/viewjob?jk=4b46bf5d2d58db1a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",4b46bf5d2d58db1a,False,False,False,"Lafayette, CO 80026",9 hours ago,
29,Data Analyst,"CGI Group, Inc.",Reston,VA,US,en,"Reston, VA",CGI,"Sat, 11 Jan 2020 08:07:13 GMT","Experience with <b>data</b> aggregation, <b>data</b> visualization, business intelligence and <b>data</b> analytics a plus. Bachelors of <b>Science</b> in Computer <b>Science</b> or relevant…",http://www.indeed.com/viewjob?jk=91dce5f1d5857e01&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",91dce5f1d5857e01,False,False,False,"Reston, VA",8 hours ago,
30,"Data Science Consultant, Clinical Communities Analytics",JDSAT,Falls Church,VA,US,en,"Falls Church, VA",JDSAT,"Sat, 11 Jan 2020 04:39:41 GMT","JDSAT is an Operations Research and <b>Data</b> <b>Sciences</b> firm currently seeking talented analysts in fields of Operations Research, <b>Data</b> <b>Science</b>, Engineering, Computer…",http://www.indeed.com/viewjob?jk=f18146637febeeda&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",f18146637febeeda,False,False,True,"Falls Church, VA",11 hours ago,
31,Senior RAF Data Analyst,AdventHealth Corporate,Maitland,FL,US,en,"Maitland, FL",AdventHealth,"Sat, 11 Jan 2020 05:51:03 GMT","Perform cyclical RAPS <b>data</b> submission reconciliation to ensure maximum <b>data</b> throughout. Perform <b>data</b> mining of claims, encounters and RAPS/EDS <b>data</b> to identify…",http://www.indeed.com/viewjob?jk=820bd8d8353f88db&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",820bd8d8353f88db,False,False,False,"Maitland, FL 32751",10 hours ago,
32,Data Engineer,Pr. business,Boca Raton,FL,US,en,"Boca Raton, FL",Pr. business,"Sat, 11 Jan 2020 06:04:20 GMT","Strong expertise in <b>data</b>, project and time management; A bachelor's degree in Computer <b>Science</b>, Information Systems, or an equivalent field of study is…",http://www.indeed.com/viewjob?jk=1d64b9b4e4cde87b&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandner31k6001,"indeed_clk(this,'2859');",1d64b9b4e4cde87b,False,False,False,"Boca Raton, FL 33431",10 hours ago,
