,City,Cost Of Living Index
0,New York,100.0
1,San Francisco,91.28089296097221
2,Washington,87.52822423288991
3,Seattle,85.55679989490237
4,Boston,82.66632345148585
5,Chicago,79.98653892122717
6,Atlanta,73.68330233036465
7,Charlotte,72.22253169607444
8,Austin,67.63841206081057
